gkclasstype,gender,race,gkschid,gkfreelunch,gksurban,g8tmathss,g8treadss,hsgrdcol
REGULAR CLASS,FEMALE,BLACK,252885,FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,FEMALE,WHITE,257899,FREE LUNCH,RURAL,802,789,YES
SMALL CLASS,MALE,WHITE,259915,NON-FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,789,776,NO
SMALL CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,784,772,YES
REGULAR CLASS,FEMALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,795,743,YES
REGULAR CLASS,FEMALE,WHITE,257899,FREE LUNCH,RURAL,766,751,NA
SMALL CLASS,FEMALE,WHITE,257905,NON-FREE LUNCH,URBAN,718,753,YES
REGULAR CLASS,MALE,WHITE,221574,NON-FREE LUNCH,RURAL,821,797,YES
SMALL CLASS,FEMALE,WHITE,252885,FREE LUNCH,RURAL,880,775,NA
REGULAR CLASS,MALE,WHITE,252885,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,112038,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,128068,FREE LUNCH,RURAL,775,770,NA
REGULAR CLASS,FEMALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,773,741,YES
SMALL CLASS,MALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,808,787,YES
REGULAR CLASS,FEMALE,WHITE,159171,FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,760,857,YES
SMALL CLASS,MALE,WHITE,161176,NON-FREE LUNCH,RURAL,774,764,NA
SMALL CLASS,FEMALE,WHITE,161183,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,161183,NON-FREE LUNCH,RURAL,751,799,NA
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,823,835,YES
SMALL CLASS,MALE,WHITE,161183,FREE LUNCH,RURAL,886,797,NO
SMALL CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,165199,NON-FREE LUNCH,URBAN,801,751,NA
REGULAR CLASS,MALE,WHITE,164198,NON-FREE LUNCH,RURAL,821,746,YES
REGULAR CLASS,MALE,WHITE,112038,FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,164198,FREE LUNCH,RURAL,737,789,YES
SMALL CLASS,MALE,WHITE,166203,NON-FREE LUNCH,URBAN,NA,NA,YES
REGULAR CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,785,739,NA
REGULAR CLASS,MALE,WHITE,164198,NON-FREE LUNCH,RURAL,788,783,YES
REGULAR CLASS,MALE,WHITE,168211,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,168214,NON-FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,168211,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,234628,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,261927,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,168214,NON-FREE LUNCH,RURAL,808,805,YES
REGULAR CLASS,MALE,WHITE,168214,NON-FREE LUNCH,RURAL,825,803,YES
REGULAR CLASS,MALE,WHITE,168211,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,168214,NON-FREE LUNCH,RURAL,836,783,YES
SMALL CLASS,FEMALE,WHITE,168211,NON-FREE LUNCH,RURAL,780,795,YES
REGULAR CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,169280,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,814,757,YES
REGULAR CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,ASIAN,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,230612,NON-FREE LUNCH,RURAL,804,784,YES
SMALL CLASS,MALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,866,777,YES
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,169280,NON-FREE LUNCH,SUBURBAN,818,800,YES
REGULAR CLASS,MALE,BLACK,244728,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,789,813,YES
SMALL CLASS,MALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,844,830,YES
REGULAR CLASS,MALE,WHITE,169280,NON-FREE LUNCH,SUBURBAN,776,775,NA
REGULAR CLASS,FEMALE,WHITE,216536,NON-FREE LUNCH,RURAL,777,787,NA
SMALL CLASS,FEMALE,WHITE,169229,FREE LUNCH,SUBURBAN,849,779,NA
REGULAR CLASS,FEMALE,WHITE,216536,NON-FREE LUNCH,RURAL,802,810,NA
REGULAR CLASS,FEMALE,WHITE,208501,NON-FREE LUNCH,RURAL,825,759,YES
REGULAR CLASS,FEMALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,832,825,YES
REGULAR CLASS,FEMALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,834,782,NA
REGULAR CLASS,FEMALE,WHITE,169231,NON-FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,841,739,NA
REGULAR CLASS,FEMALE,WHITE,259915,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,173312,NON-FREE LUNCH,RURAL,868,803,YES
SMALL CLASS,FEMALE,WHITE,173312,FREE LUNCH,RURAL,756,779,NO
REGULAR CLASS,FEMALE,WHITE,208503,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,231616,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,166203,NON-FREE LUNCH,URBAN,801,747,YES
SMALL CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,812,789,YES
REGULAR CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,813,727,YES
REGULAR CLASS,FEMALE,BLACK,244839,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,208503,NON-FREE LUNCH,RURAL,834,826,YES
REGULAR CLASS,MALE,WHITE,203457,NON-FREE LUNCH,RURAL,806,802,NA
REGULAR CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,793,780,YES
SMALL CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,802,789,YES
SMALL CLASS,FEMALE,WHITE,189396,NON-FREE LUNCH,RURAL,789,761,YES
SMALL CLASS,FEMALE,WHITE,189396,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,189396,NON-FREE LUNCH,RURAL,764,721,NO
REGULAR CLASS,MALE,BLACK,189396,NON-FREE LUNCH,RURAL,750,744,YES
SMALL CLASS,FEMALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,780,753,YES
REGULAR CLASS,FEMALE,WHITE,189378,NON-FREE LUNCH,RURAL,875,821,YES
REGULAR CLASS,FEMALE,WHITE,218562,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,123056,NON-FREE LUNCH,RURAL,790,778,YES
REGULAR CLASS,FEMALE,WHITE,123056,NON-FREE LUNCH,RURAL,766,774,YES
SMALL CLASS,MALE,WHITE,170295,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,817,751,YES
REGULAR CLASS,MALE,WHITE,201449,NON-FREE LUNCH,RURAL,811,741,YES
REGULAR CLASS,FEMALE,WHITE,201449,NON-FREE LUNCH,RURAL,806,756,YES
REGULAR CLASS,FEMALE,WHITE,162184,FREE LUNCH,RURAL,825,892,NA
SMALL CLASS,MALE,WHITE,162184,FREE LUNCH,RURAL,852,863,YES
SMALL CLASS,MALE,WHITE,203452,NON-FREE LUNCH,RURAL,809,765,YES
REGULAR CLASS,FEMALE,WHITE,203452,NON-FREE LUNCH,RURAL,890,818,YES
REGULAR CLASS,FEMALE,BLACK,203457,FREE LUNCH,RURAL,766,728,YES
REGULAR CLASS,FEMALE,WHITE,203452,NON-FREE LUNCH,RURAL,796,831,YES
SMALL CLASS,FEMALE,WHITE,203452,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,212522,NON-FREE LUNCH,URBAN,730,796,YES
REGULAR CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,803,792,YES
SMALL CLASS,FEMALE,WHITE,203452,FREE LUNCH,RURAL,821,775,YES
REGULAR CLASS,MALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,825,858,YES
SMALL CLASS,MALE,WHITE,128079,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,212522,NON-FREE LUNCH,URBAN,789,751,YES
REGULAR CLASS,MALE,WHITE,212522,FREE LUNCH,URBAN,788,785,YES
SMALL CLASS,MALE,WHITE,212522,FREE LUNCH,URBAN,827,788,YES
SMALL CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,856,794,NA
REGULAR CLASS,FEMALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,920,892,YES
SMALL CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,828,847,YES
REGULAR CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,807,769,NA
REGULAR CLASS,MALE,BLACK,205490,FREE LUNCH,INNER CITY,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,203457,NON-FREE LUNCH,RURAL,772,766,NA
REGULAR CLASS,FEMALE,BLACK,205492,FREE LUNCH,SUBURBAN,717,677,NA
REGULAR CLASS,FEMALE,BLACK,205490,FREE LUNCH,INNER CITY,738,759,NA
REGULAR CLASS,MALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,NA,NA,NO
SMALL CLASS,MALE,WHITE,128068,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,128076,NON-FREE LUNCH,SUBURBAN,835,800,YES
REGULAR CLASS,FEMALE,WHITE,205491,NON-FREE LUNCH,SUBURBAN,802,801,YES
REGULAR CLASS,MALE,WHITE,128079,NON-FREE LUNCH,RURAL,833,764,YES
SMALL CLASS,MALE,WHITE,205489,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,208501,FREE LUNCH,RURAL,855,798,NO
REGULAR CLASS,FEMALE,WHITE,208501,NON-FREE LUNCH,RURAL,821,820,YES
REGULAR CLASS,MALE,WHITE,208501,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,193423,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,209510,FREE LUNCH,RURAL,827,892,YES
SMALL CLASS,FEMALE,WHITE,230612,FREE LUNCH,RURAL,738,736,NO
REGULAR CLASS,MALE,WHITE,261927,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,BLACK,193423,NON-FREE LUNCH,RURAL,719,751,YES
REGULAR CLASS,MALE,BLACK,193422,NON-FREE LUNCH,RURAL,794,786,YES
SMALL CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,712,785,YES
REGULAR CLASS,MALE,WHITE,193423,NON-FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,215533,FREE LUNCH,RURAL,814,760,NA
SMALL CLASS,FEMALE,WHITE,193423,NON-FREE LUNCH,RURAL,904,814,YES
REGULAR CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,809,754,YES
REGULAR CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,734,679,YES
SMALL CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,765,666,YES
SMALL CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,193423,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,216536,NON-FREE LUNCH,RURAL,757,764,NA
SMALL CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,215533,NON-FREE LUNCH,RURAL,775,761,YES
SMALL CLASS,MALE,WHITE,193422,NON-FREE LUNCH,RURAL,796,739,NA
REGULAR CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,763,728,NA
SMALL CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,781,759,NA
SMALL CLASS,FEMALE,BLACK,159171,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,159171,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,230612,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,BLACK,180344,NON-FREE LUNCH,URBAN,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,159171,NON-FREE LUNCH,RURAL,832,784,YES
REGULAR CLASS,MALE,WHITE,159171,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,193423,NON-FREE LUNCH,RURAL,747,747,YES
REGULAR CLASS,FEMALE,WHITE,170295,NON-FREE LUNCH,RURAL,842,775,YES
REGULAR CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,774,777,YES
SMALL CLASS,FEMALE,WHITE,230612,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,MALE,WHITE,180344,FREE LUNCH,URBAN,775,771,YES
SMALL CLASS,MALE,WHITE,159171,NON-FREE LUNCH,RURAL,793,759,YES
SMALL CLASS,FEMALE,WHITE,221571,NON-FREE LUNCH,RURAL,769,777,NA
REGULAR CLASS,MALE,WHITE,221571,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,221571,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,BLACK,221574,FREE LUNCH,RURAL,731,730,YES
SMALL CLASS,FEMALE,WHITE,221574,NON-FREE LUNCH,RURAL,798,806,YES
SMALL CLASS,MALE,BLACK,221571,NON-FREE LUNCH,RURAL,807,768,YES
SMALL CLASS,MALE,BLACK,221571,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,221571,NON-FREE LUNCH,RURAL,749,779,NA
REGULAR CLASS,MALE,WHITE,221571,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,208501,NON-FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,MALE,WHITE,212522,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,225585,NON-FREE LUNCH,RURAL,845,775,NO
REGULAR CLASS,FEMALE,WHITE,162184,NON-FREE LUNCH,RURAL,790,758,YES
SMALL CLASS,FEMALE,WHITE,231616,FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,231616,FREE LUNCH,RURAL,803,746,YES
SMALL CLASS,MALE,WHITE,230612,FREE LUNCH,RURAL,760,725,YES
REGULAR CLASS,MALE,WHITE,261927,NON-FREE LUNCH,RURAL,787,726,YES
SMALL CLASS,FEMALE,WHITE,234628,NON-FREE LUNCH,RURAL,800,774,YES
SMALL CLASS,FEMALE,WHITE,234628,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,234628,NON-FREE LUNCH,RURAL,763,785,YES
SMALL CLASS,FEMALE,WHITE,234628,NON-FREE LUNCH,RURAL,781,728,YES
SMALL CLASS,MALE,WHITE,164198,NON-FREE LUNCH,RURAL,864,804,YES
SMALL CLASS,FEMALE,WHITE,166203,FREE LUNCH,URBAN,777,785,YES
SMALL CLASS,MALE,BLACK,244776,NON-FREE LUNCH,INNER CITY,NA,742,NO
REGULAR CLASS,MALE,WHITE,166203,FREE LUNCH,URBAN,799,767,NA
REGULAR CLASS,MALE,BLACK,244818,NON-FREE LUNCH,INNER CITY,803,750,YES
SMALL CLASS,FEMALE,BLACK,244774,FREE LUNCH,INNER CITY,744,731,NA
SMALL CLASS,FEMALE,WHITE,244745,FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,244831,NON-FREE LUNCH,SUBURBAN,757,781,YES
SMALL CLASS,MALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,BLACK,244776,NON-FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,BLACK,244755,FREE LUNCH,INNER CITY,835,767,NA
SMALL CLASS,FEMALE,BLACK,244776,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,215533,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,244818,NON-FREE LUNCH,INNER CITY,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,230612,NON-FREE LUNCH,RURAL,780,753,YES
REGULAR CLASS,MALE,BLACK,244697,FREE LUNCH,INNER CITY,829,674,NA
SMALL CLASS,FEMALE,BLACK,244780,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,244745,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,252885,NON-FREE LUNCH,RURAL,876,754,NA
REGULAR CLASS,MALE,WHITE,252885,NON-FREE LUNCH,RURAL,852,777,YES
REGULAR CLASS,MALE,WHITE,252885,NON-FREE LUNCH,RURAL,832,811,YES
REGULAR CLASS,FEMALE,WHITE,216536,NON-FREE LUNCH,RURAL,827,810,YES
REGULAR CLASS,MALE,WHITE,216536,FREE LUNCH,RURAL,660,789,NA
SMALL CLASS,MALE,WHITE,257905,FREE LUNCH,URBAN,737,724,YES
REGULAR CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,787,747,YES
REGULAR CLASS,FEMALE,WHITE,257899,FREE LUNCH,RURAL,834,761,YES
REGULAR CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,791,798,YES
REGULAR CLASS,MALE,WHITE,257899,FREE LUNCH,RURAL,904,758,YES
REGULAR CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,806,780,YES
REGULAR CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,257905,FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,257905,NON-FREE LUNCH,URBAN,848,786,YES
SMALL CLASS,MALE,WHITE,257905,FREE LUNCH,URBAN,795,812,NA
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NO
SMALL CLASS,MALE,WHITE,257905,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,257899,NON-FREE LUNCH,RURAL,878,862,YES
REGULAR CLASS,FEMALE,WHITE,261927,NON-FREE LUNCH,RURAL,822,777,YES
REGULAR CLASS,FEMALE,WHITE,261927,NON-FREE LUNCH,RURAL,797,787,YES
REGULAR CLASS,MALE,WHITE,221574,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,221574,NON-FREE LUNCH,RURAL,799,784,NA
REGULAR CLASS,MALE,WHITE,216536,NON-FREE LUNCH,RURAL,812,734,YES
REGULAR CLASS,MALE,BLACK,252885,NON-FREE LUNCH,RURAL,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,112038,NON-FREE LUNCH,URBAN,NA,NA,YES
REGULAR CLASS,MALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,128079,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,130085,FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,833,789,YES
REGULAR CLASS,FEMALE,WHITE,130085,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
SMALL CLASS,MALE,BLACK,205492,FREE LUNCH,SUBURBAN,863,803,NA
SMALL CLASS,MALE,BLACK,130085,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,257905,FREE LUNCH,URBAN,NA,NA,YES
SMALL CLASS,MALE,WHITE,161176,FREE LUNCH,RURAL,760,765,NA
REGULAR CLASS,MALE,WHITE,161183,FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,MALE,WHITE,161183,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,161183,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,161183,NON-FREE LUNCH,RURAL,766,752,NA
REGULAR CLASS,MALE,WHITE,161176,NON-FREE LUNCH,RURAL,804,772,NA
REGULAR CLASS,FEMALE,WHITE,161183,NON-FREE LUNCH,RURAL,881,782,YES
REGULAR CLASS,MALE,WHITE,161176,NON-FREE LUNCH,RURAL,883,773,NA
SMALL CLASS,MALE,WHITE,166203,NON-FREE LUNCH,URBAN,783,792,YES
SMALL CLASS,FEMALE,WHITE,166203,NON-FREE LUNCH,URBAN,855,856,YES
SMALL CLASS,MALE,BLACK,166203,NON-FREE LUNCH,URBAN,728,709,YES
SMALL CLASS,FEMALE,WHITE,166203,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,112038,NON-FREE LUNCH,URBAN,NA,NA,NA
REGULAR CLASS,MALE,BLACK,166203,FREE LUNCH,URBAN,NA,NA,YES
REGULAR CLASS,FEMALE,WHITE,259915,NON-FREE LUNCH,RURAL,773,798,YES
SMALL CLASS,MALE,WHITE,123056,NON-FREE LUNCH,RURAL,790,785,YES
SMALL CLASS,FEMALE,WHITE,208503,NON-FREE LUNCH,RURAL,827,736,YES
SMALL CLASS,FEMALE,WHITE,259915,NON-FREE LUNCH,RURAL,741,660,YES
REGULAR CLASS,FEMALE,WHITE,168214,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,259915,NON-FREE LUNCH,RURAL,699,720,YES
SMALL CLASS,FEMALE,WHITE,168211,NON-FREE LUNCH,RURAL,834,797,NA
REGULAR CLASS,FEMALE,WHITE,162184,FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,MALE,WHITE,259915,NON-FREE LUNCH,RURAL,629,747,YES
SMALL CLASS,MALE,WHITE,161183,FREE LUNCH,RURAL,904,865,YES
SMALL CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,813,777,YES
SMALL CLASS,MALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,813,772,NA
REGULAR CLASS,MALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,NO
REGULAR CLASS,MALE,WHITE,189378,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,221571,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,BLACK,201449,NON-FREE LUNCH,RURAL,839,763,YES
REGULAR CLASS,MALE,WHITE,252885,NON-FREE LUNCH,RURAL,713,649,NO
REGULAR CLASS,FEMALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,MALE,WHITE,216536,NON-FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,779,713,NA
REGULAR CLASS,FEMALE,WHITE,169229,NON-FREE LUNCH,SUBURBAN,NA,NA,NA
REGULAR CLASS,FEMALE,WHITE,169219,NON-FREE LUNCH,SUBURBAN,766,772,NA
REGULAR CLASS,MALE,WHITE,209510,NON-FREE LUNCH,RURAL,NA,NA,YES
REGULAR CLASS,FEMALE,BLACK,169231,NON-FREE LUNCH,INNER CITY,NA,NA,YES
SMALL CLASS,FEMALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,718,809,NA
REGULAR CLASS,FEMALE,WHITE,169231,FREE LUNCH,INNER CITY,NA,NA,NA
SMALL CLASS,MALE,WHITE,264945,NON-FREE LUNCH,SUBURBAN,772,808,NA
SMALL CLASS,FEMALE,WHITE,169280,NON-FREE LUNCH,SUBURBAN,806,757,YES
REGULAR CLASS,FEMALE,WHITE,262937,NON-FREE LUNCH,SUBURBAN,835,792,NA
SMALL CLASS,MALE,BLACK,169231,NON-FREE LUNCH,INNER CITY,764,706,YES
REGULAR CLASS,FEMALE,WHITE,209510,FREE LUNCH,RURAL,NA,NA,NO
SMALL CLASS,MALE,WHITE,173312,NON-FREE LUNCH,RURAL,808,809,YES
SMALL CLASS,FEMALE,WHITE,173312,NON-FREE LUNCH,RURAL,725,746,YES
SMALL CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,808,731,YES
REGULAR CLASS,FEMALE,WHITE,180344,NON-FREE LUNCH,URBAN,798,775,YES
REGULAR CLASS,MALE,WHITE,203457,FREE LUNCH,RURAL,794,780,YES
SMALL CLASS,FEMALE,WHITE,203457,FREE LUNCH,RURAL,797,771,NA
SMALL CLASS,FEMALE,WHITE,189378,NON-FREE LUNCH,RURAL,694,727,NO
REGULAR CLASS,FEMALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,781,800,NA
REGULAR CLASS,FEMALE,WHITE,189396,FREE LUNCH,RURAL,920,836,YES
SMALL CLASS,MALE,WHITE,189396,NON-FREE LUNCH,RURAL,865,815,YES
REGULAR CLASS,FEMALE,WHITE,189396,FREE LUNCH,RURAL,NA,NA,NO
REGULAR CLASS,MALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,778,769,YES
SMALL CLASS,MALE,WHITE,189396,NON-FREE LUNCH,RURAL,827,755,YES
REGULAR CLASS,MALE,WHITE,257899,NON-FREE LUNCH,RURAL,NA,NA,NA
SMALL CLASS,FEMALE,WHITE,189378,NON-FREE LUNCH,RURAL,824,805,YES
SMALL CLASS,FEMALE,WHITE,189378,FREE LUNCH,RURAL,812,806,YES
REGULAR CLASS,FEMALE,WHITE,189382,NON-FREE LUNCH,SUBURBAN,780,761,YES
REGULAR CLASS,MALE,WHITE,203457,FREE LUNCH,RURAL,NA,NA,NA
REGULAR CLASS,MALE,WHITE,230612,NON-FREE LUNCH,RURAL,741,733,YES
SMALL CLASS,FEMALE,WHITE,170295,FREE LUNCH,RURAL,806,770,NA
